Ts	CO2_0.550000	CO2_0.600000	CO2_0.650000
3.400000e+02	1.066687e+05	1.066687e+05	1.066687e+05
3.390000e+02	9.910128e+04	9.910128e+04	9.910128e+04
3.380000e+02	9.188764e+04	9.188764e+04	9.188764e+04
3.370000e+02	8.503257e+04	8.503257e+04	8.503257e+04
3.360000e+02	7.853821e+04	7.853821e+04	7.853821e+04
3.350000e+02	7.240410e+04	7.240410e+04	7.240410e+04
3.340000e+02	6.662723e+04	6.662723e+04	6.662723e+04
3.330000e+02	6.120223e+04	6.120223e+04	6.120223e+04
3.320000e+02	5.612147e+04	5.612147e+04	5.612147e+04
3.310000e+02	5.137540e+04	5.137540e+04	5.137540e+04
3.300000e+02	4.695273e+04	4.695273e+04	4.695273e+04
3.290000e+02	4.284078e+04	4.284078e+04	4.284078e+04
3.280000e+02	3.902577e+04	3.902577e+04	3.902577e+04
3.270000e+02	3.549308e+04	3.549308e+04	3.549308e+04
3.260000e+02	3.222763e+04	3.222763e+04	3.222763e+04
3.250000e+02	2.921403e+04	2.921403e+04	2.921403e+04
3.240000e+02	2.643695e+04	2.643695e+04	2.643695e+04
3.230000e+02	2.388122e+04	2.388122e+04	2.388122e+04
3.220000e+02	2.153208e+04	2.153208e+04	2.153208e+04
3.210000e+02	1.937530e+04	1.937530e+04	1.937530e+04
3.200000e+02	1.739728e+04	1.739728e+04	1.739728e+04
3.190000e+02	1.558513e+04	1.558513e+04	1.558513e+04
3.180000e+02	1.392675e+04	1.392675e+04	1.392675e+04
3.170000e+02	1.241080e+04	1.241080e+04	1.241080e+04
3.160000e+02	1.102678e+04	1.102678e+04	1.102678e+04
3.150000e+02	9.764938e+03	9.764938e+03	9.764938e+03
3.140000e+02	8.616317e+03	8.616317e+03	8.616317e+03
3.130000e+02	7.572673e+03	7.572673e+03	7.572673e+03
3.120000e+02	6.626448e+03	6.626448e+03	6.626448e+03
3.110000e+02	5.770714e+03	5.770714e+03	5.770714e+03
3.100000e+02	4.999117e+03	4.999117e+03	4.999117e+03
3.090000e+02	4.305814e+03	4.305814e+03	4.305814e+03
3.080000e+02	3.685408e+03	3.685408e+03	3.685408e+03
3.070000e+02	3.132880e+03	3.132880e+03	3.132880e+03
3.060000e+02	2.643522e+03	2.643522e+03	2.643522e+03
3.050000e+02	2.212863e+03	2.212863e+03	2.212863e+03
3.040000e+02	1.836604e+03	1.836604e+03	1.836604e+03
3.030000e+02	1.510554e+03	1.510554e+03	1.510554e+03
3.020000e+02	1.230581e+03	1.230581e+03	1.230581e+03
3.010000e+02	9.925702e+02	9.925702e+02	9.925702e+02
3.000000e+02	7.924107e+02	7.924107e+02	7.924107e+02
2.990000e+02	6.260043e+02	6.260043e+02	6.260043e+02
2.980000e+02	4.893005e+02	4.893005e+02	4.893005e+02
2.970000e+02	3.783547e+02	3.783547e+02	3.783547e+02
2.960000e+02	2.894008e+02	2.894008e+02	2.894008e+02
2.950000e+02	2.189261e+02	2.189261e+02	2.189261e+02
2.940000e+02	1.637362e+02	1.637362e+02	1.637362e+02
2.930000e+02	1.210002e+02	1.210002e+02	1.210002e+02
2.920000e+02	8.827106e+01	8.827106e+01	8.827106e+01
